Value(50),Value(16),Value(84)
103,23,8
106.7,5,6
102.8,32,10
98,24,14
114.4,11.8,49.7
11.6,2.2,2.0
10.9,3.2,8.2
10.3,0.9,1.1
5.7,1.7,3.2
