Value(50),Value(16),Value(84)
42,11,16
51.7,6,4
37.6,4,4
100,19,22
40.4,5.4,6.5
58,9.5,11.4
23.6,2.9,2.9
23.5,6.3,12.8
21.7,2.2,2.7
21.3,4.7,5.4

