Draco,Fornax,Carina,CVnI,LeoI,LeoII,Sculptor,Sextans,UrsaMinor
23.6,7.9,11.6,,17.7,18.4,14.9,12.8,15.3
2.9,1.9,2.2,,3.4,1.6,2.3,2.9,3.2
2.0,2.7,2.0,,3.3,1.7,2.8,3.4,3.5
