Value(50),Value(16),Value(84)
100,33,28
89.4,26,31
56.2,15,22
91.7,25,32
85.2,29.3,38.6
76.7,27,43.1
7.9,1.9,2.7
12.2,2.3,3.2
7.5,1.4,2.0
3.4,1.3,1.7
