Draco,Fornax,Carina,CVnI,LeoI,LeoII,Sculptor,Sextans,UrsaMinor
18.8,4.8,4.7,10.5,20.7,17.1,14.7,6.8,17.5
2.7,0.5,0.7,3.7,2.9,2.0,2.0,1.9,5.2
3.7,0.9,0.9,5.4,2.9,2.1,1.8,2.8,7.3
