Value(50),Value(16),Value(84)
63,47,221
46.6,26,30
35,20,24
40.1,24,29
42.9,23.2,28.9
47.5,24,30.9
17.7,3.4,3.3
26.4,9.1,22.3
15.1,2.4,3.4
14.1,4.5,5.5
