Draco,Fornax,Carina,CVnI,LeoI,LeoII,Sculptor,Sextans,UrsaMinor
23.5,12.2,10.9,,26.4,20.1,21.4,5.2,23.8
6.3,2.3,3.2,,9.1,6.1,6.3,2.3,7.2
12.8,3.2,8.2,,23.3,12.7,12.6,3.6,38.6
