Value(50),Value(16),Value(84)
69,9,10
63.6,3,4
48.7,4,4
47.7,3.4,3.4
55,5.2,5.5
44.9,3.9,4.3
14.9,2.3,2.8
21.4,6.3,12.6
17.1,2.2,2.1
16.1,3.3,2.9
