Value(50),Value(16),Value(84)
44,10,12
48.9,3,3
34.9,3,3
70.4,5,8.5
41.8,4.5,5.3
55.7,7,8.4
15.3,3.2,3.5
23.8,7.2,38.6
25.2,4.5,2.9
25.4,5.7,6.1
