Draco,Fornax,Carina,CVnI,LeoI,LeoII,Sculptor,Sextans,UrsaMinor
21.2,3.4,5.7,13.5,14.1,13.4,16.1,8.6,25.4
4.6,1.3,1.7,6.6,4.5,1.6,3.3,3.5,5.6
5.4,1.7,3.2,5.3,5.5,4.3,2.9,5.1,6.2
