Draco,Fornax,Carina,CVnI,LeoI,LeoII,Sculptor,Sextans,UrsaMinor
21.7,7.5,10.2,13.4,15.0,17.0,17.1,10.9,25.1
2.2,1.4,0.9,2.4,2.4,3.7,2.1,1.8,4.3
2.5,2.0,1.1,3.1,3.3,2.3,2.1,2.9,3.0
