Value(50),Value(16),Value(84)
79,8,9
74.5,6,4
64,6.5,5
71.6,6,4.5
82.8,4,3.7
82.2,4.3,3.8
12.8,2.9,3.4
5.2,2.3,3.6
11,1.8,2.9
8.5,3.5,5
